location_id,neighbourhood_id,total_traffic_volume,total_median_income,labor_force_amount
3969,1,13663,33600,18405
3970,1,75871,33600,18405
3971,1,28496,33600,18405
3972,1,27930,33600,18405
3973,1,21627,33600,18405
4238,1,7757,33600,18405
4239,1,5653,33600,18405
4436,1,16913,33600,18405
4438,1,11706,33600,18405
4440,1,47325,33600,18405
4672,1,31220,33600,18405
4807,1,40171,33600,18405
4808,1,35185,33600,18405
5038,1,8035,33600,18405
5093,1,7287,33600,18405
5094,1,3426,33600,18405
5095,1,9884,33600,18405
5117,1,96862,33600,18405
5121,1,13206,33600,18405
5122,1,19657,33600,18405
5123,1,17253,33600,18405
5125,1,12401,33600,18405
5162,1,19401,33600,18405
5485,1,2743,33600,18405
5547,1,20838,33600,18405
5599,1,29871,33600,18405
5718,1,8082,33600,18405
5782,1,24615,33600,18405
5783,1,16921,33600,18405
5786,1,43082,33600,18405
5962,1,3295,33600,18405
6111,1,3552,33600,18405
9815,1,3044,33600,18405
11244,1,3123,33600,18405
11245,1,3116,33600,18405
11308,1,12734,33600,18405
13554,1,4735,33600,18405
25111,1,3944,33600,18405
30709,1,9321,33600,18405
34793,1,2324,33600,18405
35270,1,16010,33600,18405
35404,1,5920,33600,18405
35747,1,5225,33600,18405
38018,1,1620,33600,18405
39033,1,10636,33600,18405
40516,1,7885,33600,18405
41290,1,3520,33600,18405
41296,1,3877,33600,18405
42443,1,2688,33600,18405
43128,1,3714,33600,18405
43410,1,13082,33600,18405
43652,1,6586,33600,18405
50109,1,6497,33600,18405
4327,2,11051,29600,14360
4439,2,6751,29600,14360
4728,2,8758,29600,14360
5127,2,8321,29600,14360
5182,2,16631,29600,14360
5506,2,31235,29600,14360
5507,2,75321,29600,14360
5746,2,23048,29600,14360
5978,2,7237,29600,14360
12899,2,2653,29600,14360
26876,2,8397,29600,14360
31848,2,1660,29600,14360
32482,2,6890,29600,14360
43030,2,4568,29600,14360
4317,3,41122,32800,4990
5126,3,10730,32800,4990
6191,3,10350,32800,4990
20296,3,14362,32800,4990
42301,3,12129,32800,4990
43550,3,942,32800,4990
4318,4,13525,33600,5305
4727,4,10490,33600,5305
5124,4,12145,33600,5305
5505,4,10470,33600,5305
12902,4,20805,33600,5305
16365,4,13322,33600,5305
30710,4,9716,33600,5305
41324,4,738,33600,5305
43557,4,10510,33600,5305
5525,5,4477,34400,4425
5784,5,3907,34400,4425
6177,5,3544,34400,4425
28287,5,29216,34400,4425
41619,5,5816,34400,4425
42304,5,17103,34400,4425
4354,6,11847,34400,10525
5120,6,13817,34400,10525
5147,6,12053,34400,10525
5448,6,32876,34400,10525
5450,6,3445,34400,10525
5719,6,28597,34400,10525
6469,6,13662,34400,10525
25913,6,3789,34400,10525
28980,6,13296,34400,10525
30708,6,10407,34400,10525
41629,6,731,34400,10525
41678,6,1284,34400,10525
42953,6,1549,34400,10525
4297,7,4799,40800,11040
4325,7,20717,40800,11040
4326,7,25615,40800,11040
4584,7,48942,40800,11040
4726,7,9711,40800,11040
4980,7,26694,40800,11040
5039,7,3650,40800,11040
5504,7,43781,40800,11040
5977,7,51133,40800,11040
6441,7,11847,40800,11040
6458,7,14146,40800,11040
22742,7,9517,40800,11040
22752,7,2609,40800,11040
37596,7,7008,40800,11040
43334,7,9883,40800,11040
4391,8,50460,40400,4995
4393,8,4547,40400,4995
4394,8,43082,40400,4995
5026,8,59973,40400,4995
5169,8,19071,40400,4995
5170,8,17708,40400,4995
5558,8,21960,40400,4995
5562,8,8926,40400,4995
6165,8,2509,40400,4995
31854,8,6704,40400,4995
33253,8,8342,40400,4995
34505,8,10601,40400,4995
38106,8,2509,40400,4995
43133,8,8050,40400,4995
43329,8,4517,40400,4995
43330,8,843,40400,4995
43339,8,8248,40400,4995
50112,8,2928,40400,4995
4378,9,38118,48400,8105
4379,9,19158,48400,8105
4981,9,38777,48400,8105
5176,9,3710,48400,8105
5993,9,15039,48400,8105
6193,9,29943,48400,8105
11540,9,15082,48400,8105
11562,9,15764,48400,8105
11763,9,9618,48400,8105
12160,9,8563,48400,8105
31007,9,10943,48400,8105
33249,9,13434,48400,8105
38936,9,16979,48400,8105
41597,9,2935,48400,8105
42940,9,1690,48400,8105
43332,9,1724,48400,8105
4296,10,10013,58800,5880
4323,10,40966,58800,5880
4324,10,9831,58800,5880
6468,10,10047,58800,5880
31868,10,1631,58800,5880
37599,10,11008,58800,5880
41592,10,9318,58800,5880
43327,10,2234,58800,5880
5386,11,26737,44400,9770
31867,11,1672,44400,9770
41589,11,5578,44400,9770
43528,11,831,44400,9770
50061,11,3628,44400,9770
4537,12,22079,46800,5215
38154,12,13524,46800,5215
38557,12,10451,46800,5215
4263,13,5334,39200,6495
28971,13,4750,39200,6495
38809,13,5399,39200,6495
43336,13,5622,39200,6495
4512,15,14773,74500,4595
4888,15,18754,74500,4595
5141,15,3583,74500,4595
5296,15,36787,74500,4595
6477,15,9656,74500,4595
7341,15,20979,74500,4595
32815,15,23107,74500,4595
37770,15,7184,74500,4595
39027,15,4884,74500,4595
41593,15,1219,74500,4595
43087,15,12248,74500,4595
43088,15,12317,74500,4595
43090,15,15423,74500,4595
43417,15,8539,74500,4595
43650,15,6056,74500,4595
43657,15,2842,74500,4595
4475,16,23754,48400,14045
4897,16,71516,48400,14045
5168,16,19416,48400,14045
5271,16,64245,48400,14045
5309,16,33955,48400,14045
5559,16,15224,48400,14045
6046,16,14644,48400,14045
6471,16,14424,48400,14045
11724,16,17233,48400,14045
12173,16,15157,48400,14045
26664,16,14522,48400,14045
28054,16,12180,48400,14045
33919,16,15732,48400,14045
33981,16,13861,48400,14045
33983,16,947,48400,14045
34508,16,3002,48400,14045
36802,16,25702,48400,14045
36883,16,16206,48400,14045
38057,16,15220,48400,14045
38066,16,15464,48400,14045
38071,16,15551,48400,14045
38556,16,15305,48400,14045
41878,16,2629,48400,14045
41922,16,35280,48400,14045
41979,16,2783,48400,14045
41980,16,326,48400,14045
